User ID,Latitude,Longitude,Smoking Habit,Drinking Habit,Dress Preference,Preferred Ambience,Transport Mode,Marital Status,People Under Charge,Birth Year,Interest,Personality,Religion,Activity Level,Favorite Color,Weight (kg),Budget,Height (cm),Preferred Payment Method,User Preference
U1001,22.139997,-100.978803,False,Abstemious,Informal,Family,On foot,Single,Independent,1989,Variety,Thrifty protector,Atheist,Student,Black,69,Medium,1.77,Cash,American
U1002,22.150087,-100.983325,False,Abstemious,Informal,Family,Public,Single,Independent,1990,Technology,Hunter ostentatious,Catholic,Student,Red,40,Low,1.87,Cash,Mexican
U1003,22.119847,-100.946527,False,Social drinker,Formal,Family,Public,Single,Independent,1989,None,Hard worker,Catholic,Student,Blue,60,Low,1.69,Cash,Mexican
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Bakery
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Bakery
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Breakfast-Brunch
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Breakfast-Brunch
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Japanese
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Japanese
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Contemporary
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Contemporary
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Mexican
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Mexican
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Bagels
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Bagels
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Cafe-Coffee_Shop
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Cafe-Coffee_Shop
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Continental-European
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Continental-European
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Cafeteria
U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Cash,Cafeteria
U1005,22.183477,-100.959891,False,Abstemious,No preference,Family,Public,Single,Independent,1992,None,Thrifty protector,Catholic,Student,Black,65,Medium,1.69,Cash,American
U1006,22.15,-100.983,True,Social drinker,No preference,Friends,Car owner,Single,Independent,1989,Variety,Hard worker,Atheist,Student,Blue,75,Medium,1.8,Cash,Mexican
U1007,22.118464,-100.938256,False,Casual drinker,Informal,Solitary,Public,Single,Independent,1989,Variety,Thrifty protector,Catholic,Student,Purple,60,Low,1.59,Cash,Family
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Cafe-Coffee_Shop
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Mexican
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Juice
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Hawaiian
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Hot_Dogs
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Latin_American
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Korean
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,American
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Cafeteria
U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard worker,Catholic,Student,Green,68,Low,1.72,Cash,Italian
U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty protector,Catholic,Student,Green,75,Medium,1.78,Cash,Diner
U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty protector,Catholic,Student,Green,75,Medium,1.78,Cash,Fast_Food
U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty protector,Catholic,Student,Green,75,Medium,1.78,Cash,Family
U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty protector,Catholic,Student,Green,75,Medium,1.78,Cash,Cafe-Coffee_Shop
U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty protector,Catholic,Student,Green,75,Medium,1.78,Cash,Deli-Sandwiches
